snaptime,disk,file#,name,phyrds,phyblkrd,phywrts,phyblkwrt,singleblkrds,singleblkrdtim,avgiotim,readtim,writetim,miniotim,maxiortm,maxiowtm,rw_ratio,global_name
2024-09-29 07:14:59,E:,13,E:\ORADATA\ORCL\SOE\SYSTEM01.DBF,385378,796965,106060,214403,367206,3563,2,3951,9982,0,43,97,3.72,SOE
2024-09-29 07:14:59,E:,14,E:\ORADATA\ORCL\SOE\SYSAUX01.DBF,295995,1619024,281177,468230,162749,3025,5,4653,18557,0,519,2328,3.46,SOE
2024-09-29 07:14:59,E:,15,E:\ORADATA\ORCL\SOE\UNDOTBS01.DBF,4022,4022,20277573,304928929,4022,48,21,48,3534610,0,2,264,0,SOE
2024-09-29 07:14:59,E:,16,E:\ORADATA\ORCL\SOE\USERS01.DBF,3839,3839,3845,5431,3839,61,0,61,92,0,2,5,.71,SOE
2024-09-29 07:14:59,E:,18,E:\ORADATA\ORCL\SOE\SOE01.DBF,9351627,17578040,5911752,8124915,9279620,776692,0,814965,92058808,0,5,80,2.16,SOE
2024-09-29 07:15:59,E:,13,E:\ORADATA\ORCL\SOE\SYSTEM01.DBF,385383,796970,106064,214407,367211,3563,2,3951,10065,0,43,97,3.72,SOE
2024-09-29 07:15:59,E:,14,E:\ORADATA\ORCL\SOE\SYSAUX01.DBF,295997,1619026,281178,468231,162751,3025,5,4653,18559,0,519,2328,3.46,SOE
2024-09-29 07:15:59,E:,15,E:\ORADATA\ORCL\SOE\UNDOTBS01.DBF,4023,4023,20280631,304942914,4023,48,38,48,3623924,0,2,264,0,SOE
2024-09-29 07:15:59,E:,16,E:\ORADATA\ORCL\SOE\USERS01.DBF,3840,3840,3846,5432,3840,61,0,61,92,0,2,5,.71,SOE
2024-09-29 07:15:59,E:,18,E:\ORADATA\ORCL\SOE\SOE01.DBF,9662594,17889006,6054098,8308803,9590595,802277,1,840552,94869987,0,8,97,2.15,SOE
2024-09-29 07:16:59,E:,13,E:\ORADATA\ORCL\SOE\SYSTEM01.DBF,385539,797126,106068,214411,367367,3584,2,3973,10084,0,43,97,3.72,SOE
2024-09-29 07:16:59,E:,14,E:\ORADATA\ORCL\SOE\SYSAUX01.DBF,296126,1620203,281180,468233,162799,3029,4,4662,18560,0,519,2328,3.46,SOE
